title,person,position,video_link
Deep Learning State of the Art (2020),Lex Fridman,,https://www.youtube.com/watch?v=0VH1Lim8gL8&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Privacy Preserving AI,Andrew Trask,OpenMined University of Oxford,https://www.youtube.com/watch?v=4zrU54VIK6k&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
"Efficient Computing for Deep Learning, Robotics, and AI",Vivienne Sze,MIT,https://www.youtube.com/watch?v=WbLQqPw_n88&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Complete Statistical Theory of Learning,Vladimir Vapnik,Columbia University,https://www.youtube.com/watch?v=Ow25mjFjSmg&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Deep Learning Basics: Introduction and Overview,Lex Fridman,,https://www.youtube.com/watch?v=O5xeyoRL95U&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Deep Learning State of the Art (2019),Lex Fridman,,https://www.youtube.com/watch?v=53YvP6gdD7U&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Introduction to Deep Reinforcement Learning,Lex Fridman,,https://www.youtube.com/watch?v=zR11FLZ-O9M&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Self-Driving Cars: State of the Art (2019),Lex Fridman,,https://www.youtube.com/watch?v=sRxaMDDMWQQ&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Waymo,Drago Anguelov,Principal Scientist Waymo,https://www.youtube.com/watch?v=Q0nGo2-y0xY&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Voyage,Oliver Cameron,CEO Voyage,https://www.youtube.com/watch?v=-j0tc0Y1CIE&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Aptiv,Karl Iagnemma,President Aptiv Autonomous Mobility,https://www.youtube.com/watch?v=p5AtrKqQ3Fw&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Deep Learning,Lex Fridman,,https://www.youtube.com/watch?v=-6INDaLcuJY&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Deep Reinforcement Learning,Lex Fridman,,https://www.youtube.com/watch?v=MQ6pP65o7OM&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Computer Vision,Lex Fridman,,https://www.youtube.com/watch?v=CLOAswsxudo&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Deep Learning for Human Sensing,Lex Fridman,,https://www.youtube.com/watch?v=Z2GfE8pLyxc&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Self-Driving Cars: State of the Art (2018),Lex Fridman,,https://www.youtube.com/watch?v=_OCjqIgxwHw&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Artificial General Intelligence (AGI),Lex Fridman,,https://www.youtube.com/watch?v=-GV_A9Js2nM&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Waymo,Sacha Arnoud,Director of Engineering Waymo,https://www.youtube.com/watch?v=LSX3qdy0dFg&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
nuTonomy,Emilio Frazzoli,CTO nuTonomy,https://www.youtube.com/watch?v=dWSbItd0HEA&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Aurora,Sterling Anderson,Co-Founder Aurora,https://www.youtube.com/watch?v=HKBhP9JISF0&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Boston Dynamics,Marc Raibert,Boston Dynamics,https://www.youtube.com/watch?v=LiNSPRKHyvo&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
"Building machines that see, learn, and think like people",Josh Tenenbaum,Professor MIT,https://www.youtube.com/watch?v=7ROelYvo8f0&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Computational Universe,Stephen Wolfram,Wolfram Research,https://www.youtube.com/watch?v=P7kX7BuHSFI&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Future of Intelligence,Ray Kurzweil,Google,https://www.youtube.com/watch?v=9Z06rY3uvGY&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
How the Brain Creates Emotions,Lisa Feldman Barrett,Professor Northeastern U.,https://www.youtube.com/watch?v=qwsft6tmvBA&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
OpenAI Meta-Learning and Self-Play,Ilya Sutskever,Co-Founder OpenAI,https://www.youtube.com/watch?v=9EN_HoEk3KY&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Cognitive Architecture,Nate Derbinsky,Professor Northeastern U.,https://www.youtube.com/watch?v=bfO4EkoGh40&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Autonomous Weapons Systems Policy,Richard Moyes,Co-Founder Article36,https://www.youtube.com/watch?v=U6lJI-NSfBY&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Introduction to Deep Learning and Self-Driving Cars,Lex Fridman,,https://www.youtube.com/watch?v=1L0TKZQcUtA&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Deep Reinforcement Learning for Motion Planning,Lex Fridman,,https://www.youtube.com/watch?v=QDzM8r3WgBw&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Convolutional Neural Networks for End-to-End Learning of the Driving Task,Lex Fridman,,https://www.youtube.com/watch?v=U1toUkZw6VI&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Recurrent Neural Networks for Steering Through Time,Lex Fridman,,https://www.youtube.com/watch?v=nFTQ7kHQWtc&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Deep Learning for Human-Centered Semi-Autonomous Vehicles,Lex Fridman,,https://www.youtube.com/watch?v=ByZF8_-OJNI&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
"Technology, Policy and Vehicle Safety",Chris Gerdes,Stanford,https://www.youtube.com/watch?v=LDprUza7yT4&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
Motion Planning in a Complex World,Sertac Karaman,Professor MIT,https://www.youtube.com/watch?v=0fLSf3NO0-s&list=PLrAXtmErZgOeiKm4sgNOknGvNjby9efdf
